lead_time,no_of_special_requests,avg_price_per_room,market_segment_type,arrival_month,arrival_date,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
101,0,54.06,4.0,4,12,5,1,3.0,0.0,Not_Canceled
15,0,80.0,2.0,2,19,1,0,0.0,0.0,Not_Canceled
30,0,94.2,4.0,8,31,1,0,0.0,0.0,Not_Canceled
89,0,128.85,4.0,5,8,2,2,0.0,0.0,Not_Canceled
21,0,133.5,4.0,9,29,4,0,0.0,0.0,Canceled
6,0,70.0,3.0,8,5,4,2,0.0,0.0,Not_Canceled
135,2,119.85,4.0,6,16,3,1,0.0,0.0,Not_Canceled
1,0,0.0,4.0,3,2,1,0,0.0,0.0,Not_Canceled
37,2,145.8,4.0,9,21,3,1,0.0,0.0,Not_Canceled
45,1,75.0,3.0,11,7,5,2,0.0,0.0,Not_Canceled
168,2,72.25,3.0,8,12,3,2,0.0,0.0,Not_Canceled
143,0,100.3,4.0,6,2,3,2,0.0,0.0,Canceled
25,0,75.2,4.0,11,29,1,0,0.0,0.0,Not_Canceled
102,0,101.5,4.0,10,16,2,0,1.0,0.0,Canceled
4,2,81.6,3.0,12,5,2,2,0.0,0.0,Not_Canceled
108,2,108.0,4.0,10,17,3,1,3.0,0.0,Not_Canceled
8,1,65.0,2.0,7,28,1,0,0.0,0.0,Not_Canceled
56,0,185.0,3.0,9,25,2,2,0.0,0.0,Not_Canceled
12,0,220.0,4.0,8,19,1,0,0.0,5.0,Canceled
0,0,80.0,4.0,8,23,0,1,0.0,0.0,Not_Canceled
37,1,75.0,3.0,10,30,1,2,0.0,0.0,Not_Canceled
0,0,158.0,4.0,5,9,1,1,0.0,3.0,Not_Canceled
39,0,87.0,3.0,8,14,2,0,1.0,0.0,Not_Canceled
36,0,103.95,4.0,4,8,1,0,0.0,5.0,Not_Canceled
63,2,131.75,3.0,7,26,5,0,0.0,4.0,Not_Canceled
87,1,112.01,4.0,5,29,2,2,0.0,1.0,Not_Canceled
58,1,79.2,4.0,11,13,2,1,0.0,0.0,Not_Canceled
301,0,52.0,3.0,11,18,2,0,0.0,0.0,Canceled
346,1,115.0,4.0,9,13,2,0,1.0,0.0,Canceled
361,0,91.0,4.0,11,4,1,0,0.0,0.0,Canceled
3,0,65.0,2.0,6,6,0,1,0.0,0.0,Not_Canceled
49,0,71.0,3.0,12,30,4,0,0.0,0.0,Not_Canceled
19,0,135.0,4.0,5,7,1,0,0.0,0.0,Not_Canceled
74,0,101.5,3.0,9,18,2,0,1.0,0.0,Not_Canceled
34,1,107.1,4.0,6,14,3,0,3.0,0.0,Not_Canceled
73,1,79.05,4.0,3,16,4,1,0.0,0.0,Canceled
0,0,67.0,2.0,11,25,1,0,0.0,0.0,Not_Canceled
94,1,96.3,4.0,4,12,2,0,0.0,0.0,Not_Canceled
134,1,76.58,4.0,5,9,4,1,0.0,0.0,Not_Canceled
1,0,80.0,4.0,1,18,0,1,0.0,0.0,Not_Canceled
75,1,127.8,4.0,7,30,1,0,0.0,3.0,Not_Canceled
100,1,140.0,3.0,9,28,4,0,1.0,0.0,Not_Canceled
91,0,116.1,4.0,6,18,1,1,3.0,0.0,Canceled
22,0,95.0,3.0,10,11,3,0,0.0,0.0,Not_Canceled
13,0,153.0,4.0,8,24,1,1,0.0,5.0,Not_Canceled
32,0,73.0,3.0,11,20,2,0,0.0,0.0,Not_Canceled
63,1,126.9,4.0,6,9,3,0,0.0,0.0,Canceled
26,0,127.2,4.0,9,5,3,1,0.0,0.0,Canceled
296,1,117.0,4.0,9,21,4,0,1.0,0.0,Canceled
8,0,95.0,4.0,4,5,1,0,0.0,0.0,Canceled
7,0,130.67,4.0,8,13,1,2,0.0,0.0,Canceled
263,0,110.0,3.0,10,21,2,0,0.0,0.0,Canceled
140,0,70.0,3.0,12,29,5,0,0.0,0.0,Not_Canceled
131,0,94.5,3.0,8,15,1,2,1.0,0.0,Not_Canceled
6,0,137.0,4.0,3,3,3,0,0.0,0.0,Canceled
219,1,145.1,4.0,9,13,2,0,0.0,0.0,Canceled
19,0,75.0,3.0,7,18,1,1,3.0,0.0,Not_Canceled
16,4,142.0,4.0,10,1,2,0,0.0,0.0,Not_Canceled
57,0,75.0,3.0,9,16,2,0,0.0,0.0,Not_Canceled
7,1,152.0,4.0,9,14,2,1,0.0,0.0,Not_Canceled
18,1,65.0,2.0,10,18,1,0,0.0,0.0,Not_Canceled
31,1,64.67,4.0,11,14,5,2,0.0,0.0,Not_Canceled
6,0,85.0,3.0,8,28,1,2,0.0,0.0,Not_Canceled
148,0,67.0,3.0,12,30,4,1,0.0,0.0,Not_Canceled
63,3,118.33,4.0,11,10,3,0,3.0,0.0,Not_Canceled
178,0,94.62,4.0,8,23,3,0,0.0,1.0,Canceled
151,0,71.0,3.0,1,19,4,0,0.0,0.0,Not_Canceled
93,2,72.25,4.0,12,3,3,1,0.0,0.0,Not_Canceled
102,2,86.4,4.0,12,6,2,0,0.0,0.0,Canceled
167,1,72.25,3.0,8,4,3,2,0.0,0.0,Not_Canceled
57,1,103.8,4.0,10,30,1,2,0.0,0.0,Not_Canceled
181,2,76.5,4.0,8,6,2,0,0.0,1.0,Canceled
245,0,107.59,4.0,9,22,5,2,0.0,0.0,Canceled
49,0,80.75,3.0,6,3,2,0,0.0,0.0,Not_Canceled
71,0,120.0,3.0,6,14,3,0,0.0,0.0,Not_Canceled
44,0,75.0,3.0,2,17,3,0,0.0,0.0,Not_Canceled
2,0,63.75,3.0,6,26,3,2,3.0,0.0,Not_Canceled
147,2,106.25,4.0,6,28,5,2,0.0,0.0,Not_Canceled
0,0,223.0,4.0,5,19,1,0,0.0,3.0,Canceled
44,0,67.5,4.0,2,12,2,0,3.0,0.0,Canceled
116,0,59.5,4.0,3,25,2,2,0.0,0.0,Canceled
11,1,126.0,4.0,5,8,1,2,0.0,3.0,Not_Canceled
129,1,114.3,4.0,8,6,1,0,0.0,0.0,Not_Canceled
13,1,85.29,4.0,8,27,5,2,0.0,1.0,Canceled
186,0,80.75,3.0,9,2,2,2,0.0,0.0,Not_Canceled
20,2,93.0,4.0,2,7,1,2,0.0,0.0,Not_Canceled
12,0,95.0,4.0,2,15,3,1,0.0,0.0,Not_Canceled
10,0,80.75,4.0,12,5,1,1,0.0,0.0,Not_Canceled
102,0,59.5,3.0,11,7,2,1,3.0,0.0,Canceled
7,0,94.0,2.0,8,8,0,1,0.0,3.0,Not_Canceled
26,3,124.0,4.0,9,12,1,2,0.0,0.0,Not_Canceled
106,1,90.95,4.0,4,17,2,2,0.0,3.0,Not_Canceled
320,1,115.0,3.0,8,18,2,0,1.0,0.0,Canceled
0,1,69.0,4.0,11,30,7,3,0.0,0.0,Not_Canceled
13,0,81.0,4.0,3,8,2,0,3.0,0.0,Not_Canceled
15,0,103.44,4.0,4,27,3,0,0.0,0.0,Canceled
270,0,80.0,3.0,4,20,4,0,0.0,0.0,Not_Canceled
102,0,89.25,4.0,10,16,2,1,0.0,0.0,Not_Canceled
102,0,87.0,3.0,10,16,2,0,1.0,0.0,Not_Canceled
1,0,65.0,2.0,9,30,1,0,0.0,0.0,Not_Canceled
78,1,95.0,3.0,9,29,3,0,0.0,0.0,Not_Canceled
112,0,100.0,3.0,6,2,2,0,0.0,0.0,Not_Canceled
273,0,109.0,3.0,7,17,2,0,1.0,0.0,Canceled
25,2,129.0,4.0,10,17,2,1,0.0,0.0,Not_Canceled
72,0,79.65,4.0,10,30,2,2,3.0,0.0,Canceled
93,2,76.5,4.0,8,15,3,2,0.0,0.0,Canceled
91,0,114.3,4.0,7,6,1,0,0.0,0.0,Not_Canceled
24,1,71.69,4.0,9,11,0,2,3.0,0.0,Not_Canceled
5,0,66.0,2.0,2,28,0,2,0.0,0.0,Not_Canceled
6,0,88.0,4.0,12,1,1,0,3.0,0.0,Not_Canceled
57,1,135.9,4.0,8,10,2,0,0.0,0.0,Not_Canceled
14,0,0.0,4.0,9,17,2,0,1.0,0.0,Not_Canceled
12,0,75.2,4.0,12,14,1,0,0.0,0.0,Not_Canceled
5,0,73.15,4.0,11,15,0,1,3.0,0.0,Not_Canceled
99,0,81.0,2.0,2,19,1,0,0.0,0.0,Not_Canceled
97,1,109.81,4.0,4,30,5,2,0.0,0.0,Not_Canceled
56,1,85.85,4.0,3,28,5,1,0.0,0.0,Canceled
60,1,123.3,4.0,9,3,1,1,0.0,3.0,Canceled
8,1,85.35,4.0,10,29,1,2,3.0,0.0,Not_Canceled
198,1,159.3,4.0,9,22,3,0,0.0,3.0,Canceled
163,1,72.25,3.0,8,21,6,4,1.0,0.0,Not_Canceled
19,1,117.81,4.0,9,23,2,1,0.0,0.0,Not_Canceled
20,0,80.0,3.0,11,14,2,1,0.0,0.0,Not_Canceled
3,0,98.8,3.0,9,7,1,1,0.0,0.0,Not_Canceled
1,0,51.5,3.0,2,7,1,2,0.0,3.0,Not_Canceled
30,1,79.6,4.0,1,31,0,2,0.0,3.0,Not_Canceled
118,0,110.0,3.0,6,6,1,1,0.0,0.0,Not_Canceled
386,1,115.0,4.0,10,23,0,2,1.0,0.0,Canceled
186,2,102.6,4.0,9,30,2,2,3.0,0.0,Canceled
304,0,89.0,4.0,11,3,3,0,0.0,0.0,Canceled
2,0,55.0,3.0,3,2,1,0,0.0,3.0,Not_Canceled
12,0,75.0,3.0,10,5,2,1,0.0,3.0,Not_Canceled
9,3,201.0,4.0,8,1,0,1,0.0,5.0,Not_Canceled
183,0,187.5,4.0,8,16,5,0,1.0,3.0,Canceled
79,1,37.33,1.0,7,7,3,0,0.0,0.0,Not_Canceled
256,0,100.75,4.0,10,16,3,2,0.0,0.0,Canceled
97,1,96.3,4.0,4,8,2,0,0.0,0.0,Not_Canceled
175,0,112.63,4.0,8,31,4,0,0.0,0.0,Canceled
69,1,57.52,4.0,10,28,1,0,3.0,0.0,Not_Canceled
10,1,95.0,3.0,9,1,1,0,0.0,0.0,Not_Canceled
0,0,62.8,3.0,12,24,3,2,0.0,0.0,Not_Canceled
122,0,86.0,3.0,3,27,1,2,1.0,0.0,Not_Canceled
11,1,95.48,4.0,3,16,3,0,0.0,3.0,Not_Canceled
67,1,125.1,4.0,8,13,1,0,3.0,0.0,Not_Canceled
42,1,106.8,4.0,11,25,3,0,0.0,0.0,Not_Canceled
4,0,109.0,3.0,1,2,1,2,1.0,0.0,Not_Canceled
4,0,59.0,2.0,1,25,0,1,0.0,0.0,Not_Canceled
133,0,88.5,4.0,4,29,2,1,3.0,0.0,Canceled
74,0,55.24,4.0,2,17,4,1,0.0,0.0,Not_Canceled
2,0,102.7,4.0,8,2,1,0,0.0,0.0,Not_Canceled
135,2,94.5,4.0,5,22,0,2,3.0,0.0,Not_Canceled
128,1,105.4,3.0,5,4,3,0,0.0,0.0,Not_Canceled
0,0,89.0,4.0,5,9,0,1,3.0,0.0,Not_Canceled
6,0,81.0,4.0,8,23,0,1,3.0,0.0,Not_Canceled
38,0,85.0,2.0,12,2,2,0,0.0,0.0,Not_Canceled
20,0,156.0,4.0,5,11,1,0,0.0,3.0,Canceled
240,2,90.95,4.0,10,27,3,1,0.0,0.0,Not_Canceled
34,2,74.8,4.0,11,14,5,2,0.0,0.0,Canceled
79,0,75.0,3.0,11,13,2,0,0.0,0.0,Not_Canceled
126,2,125.45,4.0,5,15,3,2,0.0,3.0,Not_Canceled
4,1,88.0,4.0,12,14,1,0,0.0,0.0,Not_Canceled
31,1,125.1,4.0,10,4,1,0,0.0,0.0,Not_Canceled
2,0,75.0,3.0,9,20,1,2,0.0,3.0,Not_Canceled
35,0,84.24,4.0,6,1,2,0,3.0,0.0,Canceled
147,1,127.93,4.0,7,3,2,2,0.0,3.0,Not_Canceled
176,2,137.7,4.0,8,9,3,0,0.0,3.0,Canceled
0,0,65.0,2.0,5,23,0,1,0.0,0.0,Not_Canceled
22,2,206.0,4.0,6,13,3,1,0.0,5.0,Not_Canceled
31,1,135.9,4.0,7,27,2,0,0.0,0.0,Canceled
73,1,149.4,4.0,9,19,3,1,0.0,3.0,Canceled
2,0,98.0,4.0,3,22,2,0,3.0,0.0,Not_Canceled
83,0,75.0,3.0,12,18,0,2,0.0,0.0,Not_Canceled
8,0,101.0,2.0,2,6,1,0,0.0,6.0,Not_Canceled
11,1,80.3,4.0,1,20,2,0,0.0,0.0,Not_Canceled
192,0,94.5,4.0,8,3,2,0,3.0,0.0,Canceled
39,2,130.9,4.0,12,8,8,2,0.0,3.0,Not_Canceled
188,0,130.0,4.0,6,15,2,0,0.0,0.0,Canceled
64,0,70.46,4.0,3,10,13,6,3.0,0.0,Canceled
39,2,96.3,4.0,10,23,1,0,0.0,0.0,Not_Canceled
47,0,119.52,4.0,9,18,2,2,0.0,3.0,Not_Canceled
74,0,109.0,3.0,9,18,2,0,1.0,0.0,Not_Canceled
27,2,195.5,4.0,8,8,1,1,0.0,0.0,Not_Canceled
256,1,115.0,3.0,6,15,2,0,1.0,0.0,Canceled
267,0,95.0,3.0,9,30,2,1,0.0,0.0,Canceled
33,1,120.6,4.0,10,3,0,1,3.0,0.0,Not_Canceled
47,1,86.35,4.0,3,11,2,2,0.0,0.0,Not_Canceled
54,0,117.9,4.0,7,3,1,2,0.0,0.0,Canceled
95,0,80.75,3.0,5,6,2,1,0.0,0.0,Not_Canceled
89,1,87.3,4.0,4,1,2,0,0.0,0.0,Not_Canceled
104,0,150.3,4.0,8,24,4,0,0.0,3.0,Canceled
156,1,106.89,4.0,8,12,6,2,0.0,0.0,Canceled
213,0,130.0,3.0,6,7,3,0,0.0,0.0,Canceled
44,1,66.29,4.0,2,21,5,2,3.0,0.0,Not_Canceled
86,1,90.95,4.0,4,25,3,1,0.0,0.0,Not_Canceled
78,1,108.45,4.0,4,6,4,0,0.0,3.0,Not_Canceled
76,1,140.4,4.0,5,12,3,0,0.0,3.0,Not_Canceled
170,1,112.2,4.0,8,11,3,2,0.0,3.0,Canceled
4,0,67.5,4.0,1,16,1,1,3.0,0.0,Not_Canceled
131,0,94.5,3.0,8,15,1,2,1.0,0.0,Canceled
19,0,115.0,4.0,3,3,1,0,3.0,0.0,Canceled
97,0,84.43,4.0,5,1,4,2,3.0,0.0,Canceled
0,1,129.0,4.0,6,17,1,0,3.0,0.0,Not_Canceled
275,0,90.0,3.0,10,5,4,1,0.0,0.0,Canceled
16,1,111.75,4.0,10,1,3,1,0.0,0.0,Not_Canceled
146,0,95.0,3.0,4,24,0,2,0.0,0.0,Canceled
35,0,73.1,4.0,3,2,2,0,3.0,0.0,Canceled
20,0,70.42,4.0,12,28,2,1,0.0,3.0,Not_Canceled
191,0,132.0,3.0,6,3,2,1,0.0,0.0,Canceled
36,1,68.07,4.0,12,10,6,2,0.0,0.0,Not_Canceled
105,1,114.3,4.0,7,7,3,1,0.0,0.0,Not_Canceled
10,0,110.0,0.0,9,30,1,0,0.0,3.0,Canceled
6,1,87.27,4.0,10,30,2,1,0.0,0.0,Not_Canceled
167,0,96.3,4.0,8,26,2,1,0.0,0.0,Canceled
138,0,142.2,4.0,8,18,2,0,0.0,3.0,Canceled
3,0,185.57,4.0,4,7,2,0,0.0,6.0,Not_Canceled
33,1,149.0,4.0,10,26,4,0,0.0,0.0,Canceled
290,0,72.0,3.0,6,17,2,1,0.0,0.0,Canceled
246,0,104.55,4.0,12,26,3,1,0.0,3.0,Not_Canceled
75,0,90.0,4.0,4,17,0,2,3.0,0.0,Not_Canceled
12,0,55.72,4.0,2,6,2,2,3.0,0.0,Not_Canceled
14,1,91.0,4.0,2,7,2,2,0.0,0.0,Canceled
7,0,58.0,3.0,12,9,3,0,0.0,0.0,Not_Canceled
4,0,55.0,3.0,11,27,2,1,0.0,0.0,Not_Canceled
177,0,84.39,4.0,8,22,5,2,3.0,0.0,Canceled
176,0,108.9,4.0,10,7,2,0,0.0,0.0,Canceled
5,0,167.0,4.0,8,21,0,1,0.0,0.0,Canceled
308,1,78.3,4.0,11,23,3,0,0.0,0.0,Canceled
88,0,112.2,3.0,10,5,1,1,1.0,0.0,Not_Canceled
4,0,80.0,2.0,2,19,1,0,0.0,0.0,Canceled
188,1,80.75,4.0,7,23,5,2,3.0,0.0,Not_Canceled
46,1,96.16,4.0,3,13,5,3,0.0,3.0,Canceled
9,1,67.0,2.0,10,13,2,0,0.0,0.0,Not_Canceled
9,2,194.0,4.0,6,27,3,1,1.0,3.0,Not_Canceled
0,0,75.0,2.0,10,3,0,1,0.0,0.0,Not_Canceled
235,2,105.3,4.0,8,6,1,1,0.0,0.0,Canceled
96,0,82.45,3.0,8,11,2,0,0.0,3.0,Not_Canceled
135,1,79.72,4.0,5,9,4,1,0.0,0.0,Canceled
101,0,80.0,3.0,4,4,2,1,0.0,0.0,Canceled
212,1,78.0,3.0,5,20,3,2,0.0,0.0,Not_Canceled
28,2,75.0,3.0,9,27,1,0,0.0,0.0,Not_Canceled
13,0,75.0,3.0,3,20,0,1,0.0,0.0,Not_Canceled
306,3,104.4,4.0,8,14,1,2,0.0,0.0,Not_Canceled
51,1,83.3,4.0,3,21,3,1,3.0,1.0,Not_Canceled
177,0,80.75,3.0,10,14,2,1,0.0,0.0,Not_Canceled
17,0,142.54,4.0,11,6,2,2,3.0,0.0,Not_Canceled
45,2,151.2,4.0,8,30,3,0,0.0,3.0,Not_Canceled
244,2,94.5,4.0,12,21,2,0,0.0,0.0,Canceled
100,1,136.0,4.0,5,19,3,1,0.0,0.0,Not_Canceled
41,0,76.5,4.0,3,15,1,0,0.0,0.0,Canceled
192,0,95.0,3.0,6,24,2,0,0.0,0.0,Not_Canceled
24,0,157.0,4.0,6,22,2,0,0.0,3.0,Canceled
29,1,129.0,4.0,10,20,2,0,0.0,0.0,Canceled
18,2,12.0,4.0,9,2,3,0,0.0,0.0,Not_Canceled
104,1,91.48,4.0,10,18,4,0,0.0,0.0,Not_Canceled
4,2,133.33,4.0,10,28,2,1,3.0,0.0,Not_Canceled
34,0,122.4,4.0,6,19,1,2,0.0,3.0,Canceled
64,2,65.36,4.0,1,19,2,0,3.0,0.0,Not_Canceled
1,0,85.0,4.0,1,23,1,0,0.0,0.0,Not_Canceled
138,1,71.67,4.0,7,2,2,2,0.0,0.0,Not_Canceled
12,1,118.5,4.0,8,31,2,0,3.0,0.0,Not_Canceled
28,2,104.5,4.0,8,30,4,0,3.0,0.0,Not_Canceled
164,0,100.0,3.0,10,2,2,0,0.0,0.0,Not_Canceled
20,0,65.0,2.0,6,29,1,0,0.0,0.0,Not_Canceled
5,0,80.0,3.0,12,18,2,2,0.0,0.0,Not_Canceled
9,0,67.5,4.0,1,14,2,0,3.0,0.0,Not_Canceled
12,1,89.0,4.0,1,15,2,1,0.0,0.0,Not_Canceled
102,0,101.5,3.0,10,16,2,0,1.0,0.0,Canceled
48,2,93.5,4.0,3,20,2,2,0.0,0.0,Not_Canceled
7,2,241.0,4.0,5,25,2,0,0.0,5.0,Not_Canceled
55,0,104.0,3.0,4,6,1,0,1.0,0.0,Not_Canceled
90,0,112.88,3.0,9,7,3,0,0.0,3.0,Not_Canceled
50,1,123.3,4.0,9,2,2,1,0.0,3.0,Canceled
81,0,59.5,3.0,3,18,2,2,0.0,0.0,Not_Canceled
275,0,62.8,3.0,6,4,1,1,0.0,0.0,Canceled
113,0,100.0,2.0,5,31,3,0,0.0,0.0,Canceled
18,1,142.43,4.0,8,27,5,2,0.0,3.0,Canceled
141,1,72.76,4.0,5,23,0,1,3.0,0.0,Not_Canceled
29,0,98.0,4.0,4,12,3,0,3.0,0.0,Canceled
50,1,108.0,4.0,10,19,1,0,3.0,0.0,Canceled
20,0,67.0,2.0,12,4,0,2,0.0,0.0,Not_Canceled
39,0,101.5,3.0,8,14,2,0,1.0,0.0,Not_Canceled
2,0,89.0,4.0,3,30,1,0,3.0,0.0,Not_Canceled
40,0,135.76,4.0,4,22,5,2,0.0,3.0,Canceled
69,0,123.98,4.0,9,1,6,2,3.0,0.0,Canceled
3,0,119.0,2.0,8,17,4,1,0.0,0.0,Canceled
2,0,99.14,4.0,8,19,5,2,0.0,0.0,Not_Canceled
143,0,106.0,2.0,7,18,3,1,0.0,4.0,Not_Canceled
377,1,115.0,3.0,10,14,2,0,1.0,0.0,Canceled
0,0,15.0,4.0,7,10,0,1,0.0,0.0,Not_Canceled
14,1,139.0,4.0,2,14,5,2,0.0,3.0,Not_Canceled
144,0,95.4,4.0,6,2,3,0,3.0,0.0,Not_Canceled
1,1,74.25,4.0,1,4,1,1,0.0,1.0,Not_Canceled
4,0,93.0,4.0,2,20,1,0,0.0,0.0,Not_Canceled
101,0,70.0,3.0,4,4,2,1,0.0,0.0,Canceled
296,1,117.0,3.0,9,21,4,0,1.0,0.0,Canceled
0,0,124.0,4.0,8,10,3,1,0.0,0.0,Not_Canceled
143,0,100.0,3.0,8,25,3,0,0.0,0.0,Not_Canceled
109,3,131.4,4.0,8,11,3,1,0.0,3.0,Not_Canceled
92,1,89.25,4.0,10,6,5,0,0.0,0.0,Not_Canceled
13,0,96.0,3.0,4,26,3,0,1.0,0.0,Not_Canceled
224,2,128.7,4.0,10,23,1,2,0.0,3.0,Canceled
386,1,115.0,3.0,10,23,0,2,1.0,0.0,Canceled
161,0,130.0,3.0,3,25,2,1,1.0,0.0,Canceled
36,0,214.75,4.0,8,21,0,1,0.0,6.0,Canceled
21,0,196.0,4.0,4,11,1,1,0.0,5.0,Canceled
81,2,89.25,4.0,10,24,3,2,0.0,0.0,Not_Canceled
28,1,144.8,4.0,5,20,2,1,0.0,3.0,Not_Canceled
237,0,80.75,4.0,9,14,2,1,0.0,0.0,Canceled
46,1,98.1,4.0,9,7,1,0,0.0,0.0,Not_Canceled
137,0,133.2,4.0,8,23,4,0,0.0,3.0,Canceled
85,0,100.0,3.0,9,30,3,0,1.0,0.0,Not_Canceled
34,1,66.0,3.0,2,17,4,1,0.0,0.0,Not_Canceled
0,1,141.0,4.0,5,12,1,0,0.0,0.0,Not_Canceled
30,0,139.28,4.0,10,2,2,2,0.0,0.0,Canceled
37,0,95.0,3.0,10,13,3,0,0.0,0.0,Not_Canceled
13,1,151.0,4.0,8,6,1,0,0.0,0.0,Not_Canceled
113,0,138.55,4.0,7,1,6,2,0.0,3.0,Canceled
155,0,142.83,4.0,10,20,3,0,0.0,3.0,Canceled
4,2,109.0,4.0,3,11,2,1,0.0,0.0,Not_Canceled
43,1,72.0,3.0,12,2,2,0,0.0,0.0,Not_Canceled
232,2,110.7,4.0,12,5,2,1,0.0,3.0,Not_Canceled
1,1,89.5,4.0,12,18,0,1,0.0,0.0,Not_Canceled
142,1,128.7,4.0,7,1,2,0,0.0,3.0,Not_Canceled
9,1,107.0,4.0,11,12,3,1,0.0,3.0,Not_Canceled
160,0,106.75,4.0,8,8,5,2,3.0,0.0,Canceled
177,0,100.0,3.0,6,3,2,0,0.0,0.0,Canceled
0,1,182.33,4.0,5,27,2,0,0.0,3.0,Canceled
3,0,75.0,4.0,12,4,1,0,3.0,0.0,Not_Canceled
20,2,115.6,4.0,6,8,2,0,0.0,3.0,Not_Canceled
0,0,91.59,4.0,8,16,2,0,3.0,0.0,Not_Canceled
92,1,187.85,4.0,6,1,4,0,0.0,5.0,Not_Canceled
276,0,95.0,4.0,9,22,3,0,0.0,0.0,Canceled
44,1,95.0,3.0,4,23,1,2,0.0,0.0,Not_Canceled
27,0,85.0,3.0,5,4,1,0,0.0,0.0,Not_Canceled
61,1,78.9,4.0,2,29,2,1,0.0,0.0,Canceled
61,0,68.85,4.0,7,8,8,2,0.0,0.0,Canceled
83,0,75.0,3.0,5,1,1,2,0.0,0.0,Not_Canceled
172,1,79.03,4.0,7,4,4,1,0.0,0.0,Not_Canceled
48,1,108.0,4.0,10,4,3,0,3.0,0.0,Canceled
37,1,69.5,4.0,2,12,2,1,0.0,1.0,Not_Canceled
92,0,90.95,3.0,4,7,3,1,0.0,3.0,Not_Canceled
0,0,95.0,0.0,6,20,3,1,0.0,0.0,Not_Canceled
0,1,0.0,1.0,9,28,1,0,0.0,3.0,Not_Canceled
60,0,143.1,4.0,4,30,1,1,0.0,0.0,Canceled
188,0,105.3,4.0,8,13,1,1,0.0,0.0,Canceled
1,2,136.0,4.0,6,11,1,1,0.0,3.0,Not_Canceled
28,2,96.3,4.0,10,12,2,1,0.0,0.0,Not_Canceled
39,0,109.0,3.0,8,14,2,0,1.0,0.0,Not_Canceled
10,0,129.0,4.0,6,29,2,0,3.0,0.0,Canceled
5,1,130.0,4.0,8,20,1,0,0.0,0.0,Not_Canceled
7,1,90.0,4.0,8,17,2,1,0.0,0.0,Not_Canceled
1,0,75.0,3.0,11,29,1,0,0.0,0.0,Not_Canceled
14,0,89.0,4.0,4,19,1,0,3.0,0.0,Canceled
137,1,147.9,4.0,7,29,7,3,1.0,3.0,Not_Canceled
76,2,129.0,4.0,6,17,2,2,0.0,0.0,Not_Canceled
20,0,58.0,3.0,12,27,1,2,0.0,0.0,Not_Canceled
105,0,75.0,3.0,4,6,1,0,0.0,0.0,Canceled
11,0,94.5,3.0,8,15,1,2,1.0,0.0,Not_Canceled
23,0,96.0,4.0,3,10,3,1,0.0,0.0,Canceled
164,0,100.0,3.0,10,2,2,0,0.0,0.0,Canceled
189,0,72.25,3.0,8,8,3,1,0.0,0.0,Not_Canceled
105,3,72.25,4.0,11,26,3,0,0.0,0.0,Not_Canceled
52,0,145.24,4.0,10,23,3,2,0.0,4.0,Canceled
